agency_name,agency_url,classification,description
Calgary Police Commission,https://www.calgarypolicecommission.ca/,Regulatory/Adjudicative,Municipal Police Commissions are established under thePolice Actto provide public oversight of municipal police services.
Campus Alberta Quality Council,https://caqc.alberta.ca/,Advisory,The Campus Alberta Quality Council is an arms-length quality assurance agency that has been established to advance the quality of the post-secondary system in Alberta. The Council provides advice and recommendations to the Minister on applications from post-secondary institutions seeking to offer new degree programs in Alberta and is responsible for reviewing and monitoring degree programs to ensure that they continue to meet its expectations of quality.
Camrose Police Commission,https://camrosepolicecommission.ca/,Regulatory/Adjudicative,
Canadian Centre of Recovery Excellence,https://recoveryexcellence.org/,Advisory,The Corporation provides leadership in building a recovery-oriented system of care for people struggling with addiction and mental health challenges. It supports government and help advance the Alberta Recovery Model as a corporation.
Canadian Information Processing Society of Alberta - Board of Directors,https://ab.cips.ca/about/,Regulatory/Adjudicative,"The Board of Directors of the Canadian Information Processing Society of Alberta manages and conducts the business and affairs of the Association and exercise the rights, powers and privileges of the Association in the name and on behalf of the Association."
Caribou Sub-Regional Council,https://www.alberta.ca/caribou-sub-regional-task-forces,Advisory,"The Caribou Sub-regional Council operates through one or more sub-committees (task forces) that provides recommendations to the Minister based upon local knowledge and expertise for sub-regional planning areas encompassing one or more of Alberta's 15 caribou ranges. Recommendations from the task force will also address caribou priorities, including working towards achieving and maintaining naturally self-sustaining caribou populations over the long term, and consider multi-species conservation, economic opportunities, recreational pursuits and other societal interests, and the impact on the exercise of Treaty rights and traditional uses."
Certification Appeal Committee,https://searchprovincialarchives.alberta.ca/alberta-certification-appeal-committee,Regulatory/Adjudicative,The Certification Appeal Committee hears appeals related to the issuance or re-issuance of teacher certification.
Chartered Professional Accountants of Alberta – Board of Directors,https://www.cpaalberta.ca/about-us/governance/,Regulatory/Adjudicative,"The Board of Directors governs the business and affairs of the Chartered Professional Accountants of Alberta (CPAA), fulfils the purposes of the Chartered Professional Accountants Act, and exercises the CPAA’s powers in the name of and on behalf of the CPAA."
Chartered Professional Accountants of Alberta - Discipline and Appeal Tribunals Roster of Public Members,https://public-agency-list.alberta.ca/PublicAgencyOpportunityList/GetOpportunityById?opportunityId=523,Regulatory/Adjudicative,"For each allegation of unprofessional conduct referred to a discipline tribunal of the Chartered Professional Accountants of Alberta, the tribunal must determine whether the conduct of the investigated party constitutes unprofessional conduct. An appeal tribunal may quash, confirm, vary or reverse all or any part of a decision of the body from which the appeal was made, make any finding or order that in its opinion the body ought to have made or refer the matter back to the same or another body, with or without directions."
Citizen's Appeal Panel,https://www.alberta.ca/appeal-panel-governance,Regulatory/Adjudicative,CAP's mandate includes:
Classification Appeal Board,https://www.alberta.ca/classification-appeals-directive,Regulatory/Adjudicative,The Classification Appeal Board is mandated to hear appeals by non-management provincial government employees of job evaluation decisions made by departments under the Point Rating Evaluation Plan. Boards are struck as required.
Climate Change and Emissions Management Corporation (operating as Emissions Reduction Alberta),https://www.eralberta.ca/,Service Delivery,"Established in 2009, the mandate is to establish or participate in funding initiatives that reduce greenhouse gas emissions or improve our ability to adapt to climate change. ERA operates (in part) on funding provided by Environment and Protected Areas through the Climate Change and Emissions Management Fund."
College of Acupuncturists of Alberta – Council,https://www.acupuncturealberta.ca/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes establishing and enforcing a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Alberta Dental Assistants - Council,https://abrda.ca/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Alberta Denturists - Council,https://www.abdenturists.ca/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Alberta Psychologists - Council,https://www.cap.ab.ca/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Alberta School Superintendents,https://cass.ab.ca/,Advisory,
College of Chiropractors of Alberta,https://theccoa.ca/CCOA/About/College_of_Chiropractors_of_Alberta/About_CCOA/CCOA/About/About_CCOA.aspx?hkey=aed18095-752e-49ef-aaf4-1ddd41913ed5,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Dental Surgeons of Alberta,https://www.cdsab.ca/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Dental Technologists of Alberta - Council,https://cdta.ca/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Dietitians of Alberta - Council,https://collegeofdietitians.ab.ca/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Hearing Aid Practitioners of Alberta - Council,https://alis.alberta.ca/occinfo/certifications-in-alberta/hearing-aid-practitioner/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Licensed Practical Nurses of Alberta - Council,https://www.clpna.com/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Medical Laboratory Technologists of Alberta - Council,https://www.cmlta.org/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Midwives of Alberta - Council,https://www.albertamidwives.org/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes establishing and enforcing a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Naturopathic Doctors of Alberta - Council,https://www.cnda.net/about-cnda-0,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Opticians of Alberta,https://albertaopticians.ca/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Physicians and Surgeons of Alberta - Council,https://cpsa.ca/about-cpsa/governance/council/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Physiotherapists of Alberta,https://www.cpta.ab.ca/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Podiatric Physicians of Alberta - Council,https://www.albertapodiatry.com/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Registered Nurses of Alberta,https://nurses.ab.ca/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Registered Psychiatric Nurses of Alberta - Council,https://crpna.ab.ca/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
College of Respiratory Therapists of Alberta,https://rrtalberta.ca/,Regulatory/Adjudicative,"Health regulatory bodies are responsible for providing direction to and regulating the practice of their members. This includes the establishment and enforcement of a code of ethics, standards of practice and the requirements for registration and continuing competence."
Compassionate Intervention Commission,https://www.alberta.ca/compassionate-intervention,Regulatory/Adjudicative,"Mandate: The Compassionate Intervention Commission is an independent adjudicative body tasked with making decisions under theCompassionate Intervention Act. Responsibilities include reviewing applications and conducting hearings, non-compliance reviews and appeals. Led by the commissioner, members will include lawyers, physicians and members of the public appointed by the Lieutenant Governor in Council."
Conseil consultatif de l'Alberta en matière de francophonie / Alberta Advisory Council on the Francophonie,https://www.alberta.ca/fr/francophone-secretariat,Advisory,To ensure that French-speaking Albertans have a voice in the implementation of the French Policy by identifying priorities for strengthening the community’s vitality; improving the development and delivery of government services in French within available resources; optimizing the use of existing provincial funding for services in French and federal funding administered by the department responsible for the Francophone Secretariat and evaluating the effectiveness of the policy in achieving its intended outcomes.
Credit Counselling Services of Alberta (operating as Money Mentors),https://moneymentors.ca/,Service Delivery,Credit Counselling Services of Alberta (Money Mentors) is a delegated administrative organization that administers the Orderly Payment of Debts program in Alberta as specified under the federal Bankruptcy and Insolvency Act. Credit Counselling Services of Alberta (Money Mentors) is also delegated to provide financial literacy materials and programs for Albertans.
Credit Union Deposit Guarantee Corporation,https://cudgc.ab.ca/,Regulatory/Adjudicative,The Credit Union Deposit Guarantee Corporation provides risk-based regulatory oversight and a deposit guarantee to enable a safe and sound Alberta credit union system.
Criminal Code Review Board,https://www.alberta.ca/criminal-code-review-board,Regulatory/Adjudicative,"The Criminal Code Review Board makes or reviews dispositions concerning any accused person for whom a verdict of “not criminally responsible because of mental disorder” or “unfit to stand trial” is rendered, according to the provisions of the Criminal Code of Canada."
Debtors` Assistance Board,https://albertaonrecord.ca/debtors-assistance-board,Service Delivery,The Debtors’ Assistance Board oversees the administration of the Orderly Payment of Debts Program under the federal Bankruptcy and Insolvency Act.
Dillon River Wildland Provincial Park Cooperative Management Board,https://www.albertaparks.ca/parks/north/dillon-river-wpp/,Advisory,"The Dillon River Wildland Provincial Park Cooperative Management Board provides recommendations to the Minister on matters related to the development of a park-specific management plan and implementation oversight. In addition to the government appointed positions, there are an additional twenty-three members and their alternates, representing many Indigenous communities."
Drainage Council,https://open.alberta.ca/dataset/d16,Regulatory/Adjudicative,"The Drainage Council is an adjudicative agency that provides advice and recommendations to the Minister, as well as oversight and support to Drainage Districts to ensure they are maintaining their regulatory obligations. In their adjudicative capacity, the Council hears appeals regarding decisions of Drainage District Boards of Trustees related to taxes and construction damages."
Edmonton Police Commission,https://edmontonpolicecommission.com/,Regulatory/Adjudicative,
Electrical Contractors Association of Alberta - Board of Directors,https://www.ecaa.ab.ca/board-of-directors/,Regulatory/Adjudicative,"The Board of Directors of the Electrical Contractors Association of Alberta manages and conducts the business and affairs of the Association and exercise the rights, powers and privileges of the Association in the name and on behalf of the Association."
Endangered Species Conservation Committee,https://open.alberta.ca/publications/species-assessed-by-the-conservation-committee-alberta-species-at-risk,Advisory,The Committee shall advise the minister of Environment and Parks and make non-binding recommendations on matters related to:
Environmental Appeals Board,https://eab.gov.ab.ca/,Regulatory/Adjudicative,"The Environmental Appeals Board hears appeals relating to administrative decisions regarding environmental approvals, water licenses, enforcement orders, reclamation/remediation certificates, preliminary certificates, administrative penalties, and environmental protection orders. The Board generally makes recommendations to the Minister for final decision; the Board makes the final decision on matters related to requests for confidentiality, administrative penalties, preliminary motions, and cost."
Expert Committee on Drug Evaluation and Therapeutics,https://idbl.ab.bluecross.ca/idbl/DBL/dbl_sec_ec.pdf,Advisory,The Expert Committee on Drug Evaluation and Therapeutics acts as the Minister’s external expert drug advisory committee. The Committee provides advice and recommendations to the Minister respecting the therapeutic value and cost effectiveness of drug products.
Family Support for Children with Disabilities Provincial Parent Advisory Committee,https://www.alberta.ca/provincial-parent-advisory-committee,Advisory,
Family Violence Death Review Committee,https://www.alberta.ca/family-violence-death-review-committee,Advisory,"The FVDRC is mandated to: review incidents of family violence resulting in deaths; and provide advice and recommendations to the Minister respecting the prevention and reduction of family violence. This is a multi-disciplinary, expert body composed of individuals who have expertise in the area of family violence. The committee provides expertise that will contribute to evidence-informed practice changes and the enhancement of quality assurance mechanisms through analysis and recommendations from the review of family violence death-related cases."
Farm Implement Board,https://www.alberta.ca/farm-implement-board,Regulatory/Adjudicative,"The Farm Implement Board manages the Farm Implement Compensation Fund, which is financed through the dues and levies paid by licensed dealers and distributors. Through the Farm Implement Compensation Fund, compensation is available for situations where a breach of a lease or sale agreement has occurred. The Board may also make recommendations to the Minister with respect to the Farm Implement Act."
Fatality Review Board,https://www.alberta.ca/fatality-inquiries,Advisory,The Fatality Review Board reviews investigations by the Office of the Chief Medical Examiner and makes recommendation to the Minister whether to hold a public inquiry. The Board also reviews complaints regarding the performance of the medical examiner.
First Nations Women's Council on Economic Security,https://www.alberta.ca/indigenous-womens-economic-security-councils,Advisory,"The First Nations Women's Council on Economic Security provides strategic advice and recommendations to the Government of Alberta and other government entities with the goal of strengthening and enhancing the economic security of First Nations and Inuit women, their families, and communities."
Foreign Credential Advisory Committee,https://www.alberta.ca/foreign-credential-advisory-committee,Advisory,"The Committee enhances the recognition of foreign credentials in Alberta by reviewing relevant legislation, assessing processes in other Canadian jurisdictions, and providing recommendations to the Minister to improve the recognition process and address labor shortages in specific professions."
Forest Resource Improvement Association of Alberta,https://friaa.ab.ca/,Service Delivery,The Forest Resource Improvement Association of Alberta promotes and initiates projects that enhance Alberta's forest resources or improve the management of forest resources on public land.
General Insurance Council,https://www.abcouncil.ab.ca/,Regulatory/Adjudicative,"The Insurance Adjusters' Council, General Insurance Council and the Life Insurance Council are the regulatory bodies responsible for licensing and discipline of insurance agents, brokers and adjusters in Alberta. The General Insurance Council is responsible for licensing and discipline of general insurance agents."
Grande Prairie Police Commission,https://www.gppcommission.com/,Regulatory/Adjudicative,Municipal Police Commissions are established under thePolice Actto provide public oversight of municipal police services.
Grant MacEwan University Board of Governors,https://www.macewan.ca/about-macewan/governance-leadership/board-of-governors/,Service Delivery,"Based on Alberta’s differentiated model for post-secondary as prescribed in the six sector model the Roles and Mandates Policy Framework for the Public Funded Post-secondary Institutions, Grant MacEwan University is a baccalaureate and applied studies institution. It provides baccalaureate degrees in specified areas, certificate, diploma and applied degree programs. Applied research is conducted to foster innovation and scholarly research is conducted as a basis to enhance the instructional mandate of the institution."
Health Information and Data Governance Committee,https://www.albertadoctors.org/media/k3rooomx/hidgc-overview-fact-sheet.pdf,Advisory,"The Health Information and Data Governance Committee (HIDGC) provides strategic advice to ensure that health information and data is protected and is effectively used to support patient care, health system management, research and evidence-based quality improvement and program planning. HIDGC also promotes the sharing of health information outside the health sector where necessary for client service delivery through the Government of Alberta’s social programs."
Health Quality Council of Alberta - Board of Directors,https://hqa.ca/about-us/who-we-are/our-team/board-of-directors/,Service Delivery,"The Health Quality Council of Alberta provides advice to the Minister on the quality of health services in Alberta. The Council is also responsible to measure, monitor and assess patient safety and health service quality, including making recommendations for improvement, assisting in implementation and evaluation of strategies/mechanisms, and surveying Albertans to assess their experience and satisfaction with patient safety and health service quality."
Heritage Fund Opportunities Corporation,https://www.alberta.ca/heritage-savings-trust-fund,Public Trust,"Pursuant to its Articles of Incorporation and OC 300/2024, the mandate (and restricted business purpose) of HFOC is to provide investment management services for the purpose of managing and investing all or a portion of Crown assets."
Horse Racing Alberta,https://thehorses.com/,Regulatory/Adjudicative,"Horse Racing Alberta is responsible to govern, direct, control, regulate, manage, and promote horse racing in any or all of its forms; to protect the health, safety, and welfare of racehorses and, with respect to horse racing, the safety and welfare of racing participants and racing officials; and to safeguard the interests of the general public in horse racing."
Horse Racing Appeal Tribunal,https://www.hrappealpanel.ca/en/all-decisions,Regulatory/Adjudicative,The Horse Racing Appeal Tribunal is responsible for reviewing appeals of a ruling or direction of a racing official. The Tribunal also governs the applicability of the Alberta Rules of Court.
Hospital Privileges Appeal Board,https://www.alberta.ca/hospital-privileges-appeal-board,Regulatory/Adjudicative,"The Hospital Privileges Appeal Board is established under the Hospitals Act to hear appeals from members or former members of the medical staff of approved hospitals, who consider themselves aggrieved by a decision of a Board of an approved hospital."
Independent Agency Police Service Oversight Board,https://www.alberta.ca/policing-in-alberta,Regulatory/Adjudicative,The Oversight Board provides improved civilian oversight to the IAPS.
Indigenous Wisdom Advisory Panel,https://www.alberta.ca/AGS-directory/MR_1014_2017-05-31_MRD_IndigenousWisdomAdvisoryPanel_toPost.pdf,Advisory,The Indigenous Wisdom Advisory Panel provides advice to the Chief Scientist and the Minister about how to incorporate traditional ecological knowledge into the environmental science program.
Institute of Certified Management Consultants of Alberta - Board of Directors,http://cmc-canada.ca/alberta,Regulatory/Adjudicative,"The Board of Directors of the Institute of Certified Management Consultants of Alberta manages and conducts the business and affairs of the Institute and exercises the rights, powers and privileges of the Institute in the name and on behalf of the Institute."
Insurance Adjusters' Council,https://www.abcouncil.ab.ca/,Regulatory/Adjudicative,"There are four Insurance Councils: the Alberta Insurance Council, the Insurance Adjusters' Council, the General Insurance Council and the Life Insurance Council. The Insurance Adjusters' Council, General Insurance Council and the Life Insurance Council are the regulatory bodies responsible for licensing and discipline of insurance agents, brokers and adjusters in Alberta."
Insurance Councils Appeal Board,https://www.abcouncil.ab.ca/complaints-enforcement/appeal-a-decision/,Regulatory/Adjudicative,"The Insurance Councils Appeal Board is a roster of names from which three members are appointed to an Appeal Panel. Panels hear appeals of decisions of the three industry-specific councils that regulates Alberta's insurance professionals: the Insurance Adjusters' Council, General Insurance Council and the Life Insurance Council. Panels do not meet on a regular basis otherwise."
Integration Council,https://your.alberta.ca/health/faqs,Advisory,"The Integration Council is an advisory body that will support the alignment of health system strategic goals, identify efficiencies and means to remove barriers to the health system integration and patient journey, and help ensure the health system is working to deliver better health outcomes for Albertans."
Invest Alberta Corporation,https://investalberta.ca/,Service Delivery,"The IAC’s overarching mandate is to attract high-impact, job-creating investment to Alberta and promote the province as a preferred investment destination to national and international investors. The Crown corporation has been established to play a leading role to support government initiatives to help instill investor confidence and generate investment in the province’s primary sectors – energy, agriculture and tourism. The corporation would also pursue investment opportunities to support Alberta’s high-growth industries, such as technology, aviation and aerospace, and financial services."
Irrigation Council,https://www.alberta.ca/irrigation-council,Regulatory/Adjudicative,The Irrigation Council was established under the Irrigation Districts Act to
Judicial Council,https://albertacourts.ca/cj/about-the-court/judicial-information/judicial-complaints,Regulatory/Adjudicative,"Considers proposed appointments of persons as Application Judges, Alberta Court of Justice justices and and justices of the peace, and reports its recommendations to the Minister. The council has jurisdiction to deal with complaints against Application judges, Alberta Court of Justice justices and justices of the peace. Establishes rules relating to conflicts of interest and a code of ethics for Application Judges, Alberta Court of Justice justices and justices of the peace."
Kananaskis Improvement District Council,https://www.kananaskisid.ca/,Service Delivery,"The Kananaskis Improvement District Council provides local government and municipal services to the residents of Kananaskis Country. The Council also works with, and provides input to, government with respect to land use and resource management within the improvement district."
Kazan Wildland Provincial Park Cooperative Management Board,https://www.albertaparks.ca/parks/north/kazan-wpp/,Advisory,"The Kazan Wildland Provincial Park Cooperative Management Board provides recommendations to the Minister on matters related to the development of a park-specific management plan and implementation oversight. In addition to the government appointed positions, there are an additional twenty-three members and their alternates, representing many Indigenous communities."
Keyano College Board of Governors,https://www.keyano.ca/en/about-us/board-of-directors.aspx,Service Delivery,"Based on Alberta’s differentiated model for post-secondary education as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post-secondary institutions, Keyano College is a comprehensive community institution (CCI). CCIs provide broad programming, including apprenticeship where demand warrants, certificate, diploma, foundational learning, and upgrading. They may provide university transfer (years one and two) and applied degrees. Baccalaureate degrees will only be provided if feasible, in alignment with areas of specializations, and primarily in collaboration with a degree-granting institution. Applied research may be conducted to foster innovation, and scholarly research activity may be conducted as a basis to enhance the instructional mandate of these institutions within collaborative degree program disciplines."
Lacombe Police Commission,https://lacombepolicecommission.com/,Regulatory/Adjudicative,Municipal Police Commissions are established under thePolice Actto provide public oversight of municipal police services.
Lakeland College Board of Governors,https://www.lakelandcollege.ca/about/administration-and-governance/board-of-governors.html,Service Delivery,"Based on Alberta’s differentiated model for post-secondary education as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post- secondary institutions, Lakeland College is a comprehensive community institution (CCI)."
Land Agent Advisory Committee,https://www.alberta.ca/land-agent-advisory-committee,Advisory,"The Land Agent Advisory Committee provides advice to the Minister and the Registrar of Land Agents on land agent activities that impact land owners, land agents and employers. Upon request, the Committee may also make recommendations respecting the qualifications of applicants for land agent licenses, standards of conduct for land agents and any other matter."
Land and Property Rights Tribunal,https://www.alberta.ca/land-and-property-rights-tribunal,Regulatory/Adjudicative,
LAPP Corporation,https://www.lapp.ca/,Public Trust,The Local Authorities Pension Plan Board of Trustees is responsible for the administration of the Local Authorities Pension Plan.
Law Enforcement Review Board,https://open.alberta.ca/publications/alberta-law-enforcement-review-board-appeal-rules,Regulatory/Adjudicative,"The Law Enforcement Review Board reviews public complaints concerning the conduct of municipal police officers, and hears appeals by police of disciplinary action taken by the Chief of Police, and appeals from Peace Officers who have had their appointment cancelled."
Law Society of Alberta,https://www.lawsociety.ab.ca/,Regulatory/Adjudicative,"The mission of the Law Society is to serve the public interest by promoting a high standard of legal services and professional conduct through the governance and regulation of an independent legal profession. Its vision is to be recognized as a model for protecting the public interest and preserving the fundamental principles of justice through a self-regulated, independent and trusted legal profession."
Lethbridge Police Commission,https://www.lethbridgepolice.ca/about-us/lethbridge-police-commission/,Regulatory/Adjudicative,Municipal Police Commissions are established under thePolice Actto provide public oversight of municipal police services.
Life Insurance Council,https://www.abcouncil.ab.ca/applying-for-a-license/life-insurance-licenses/,Regulatory/Adjudicative,"The Insurance Adjusters' Council, General Insurance Council and the Life Insurance Council are the regulatory bodies responsible for licensing and discipline of insurance agents, brokers and adjusters in Alberta. The Life Insurance Council is responsible for licensing and discipline of life insurance agents."
Mackenzie River Basin Board,https://mrbb.ca/,Advisory,"The Mackenzie River Basin Board is an interjurisdictional third party board. The Board's role is to administer the Mackenzie River Basin Transboundary Waters Master Agreement. The agreement relates to water quantity and quality sharing among Alberta, Saskatchewan, British Columbia, Yukon and Northwest Territories for waterbodies that cross provincial and/or territorial borders."
Management Employees Pension Board,https://www.mepp.ca/page/mepp-home,Public Trust,"The Management Employees Pension Board has legislated responsibilities for the Management Employees Pension Plan and some legislated responsibilities for the Public Service Management (Closed Membership) Pension Plan. The mandate of the Board, as established under the Public Sector Pension Plans Act, is to advise the Minister on any pension matter that is of interest to persons receiving or entitled in the future to receive benefits under the Plan and to consult with the Minister."
Management Job Evaluation Appeal Board,https://www.alberta.ca/management-job-evaluations,Regulatory/Adjudicative,The Management Job Evaluation Appeal Board is mandated to hear appeals by provincial government management employees of job evaluation decisions made by departments under the Management Job Evaluation Plan. Boards are struck as required and consist of one rotating chair and two rotating board members.
Market Surveillance Administrator,https://www.albertamsa.ca/,Regulatory/Adjudicative,"The Market Surveillance Administrator is responsible for acting as an enforcement agency that protects and promotes the fair, efficient and openly competitive operation of Alberta’s wholesale electricity markets and the retail electricity and natural gas markets."
Marketing of Agricultural Products Act Appeal Tribunal,https://www.alberta.ca/agricultural-products-appeal-tribunal,Regulatory/Adjudicative,"The Appeal Tribunal is an administrative tribunal whose function is to hear, in a fair and impartial fashion, appeals of orders, directions or decisions made by the regulated marketing boards or commissions as outlined in the MAPA and the Review and Appeal Regulation."
Medicine Hat College Board of Governors,https://www.mhc.ab.ca/about-mhc/admin-governance/board,Service Delivery,"Based on Alberta’s differentiated model for post-secondary education as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post- secondary institutions, Medicine Hat College is a comprehensive community institution (CCI). CCIs provide broad programming, including apprenticeship where demand warrants, certificate, diploma, foundational learning, and upgrading. They may provide university transfer (years one and two) and applied degrees. Baccalaureate degrees will only be provided if feasible, in alignment with areas of specializations, and primarily in collaboration with a degree-granting institution. Applied research may be conducted to foster innovation, and scholarly research activity may be conducted as a basis to enhance the instructional mandate of these institutions within collaborative degree program disciplines."
Medicine Hat Police Commission,https://mhpc.ca/,Regulatory/Adjudicative,Municipal Police Commissions are established under thePolice Actto provide public oversight of municipal police services.
Mental Health Review Panel Roster,https://www.alberta.ca/mental-health-review-panel-roster,Regulatory/Adjudicative,"The Mental Health Review Panel Roster hear appeals from formal patients certified under the Mental Health Act (MHA) relating to competency to make treatment decisions, objection to treatment, return to a correctional facility, cancellation of admission or renewal certificates, and automatic review after certification for a continuous period of six months without a hearing."
Metis Settlements Appeal Tribunal,https://msat.alberta.ca/,Regulatory/Adjudicative,"The Metis Settlements Appeal Tribunal was established to resolve disputes through mediation, adjudication and public education. Disputes include land allocations, membership in a Metis Settlement, surface access, or any other matter where both parties agree or has been assigned through legislation or the Metis Settlements General Council policies."
Métis Women's Council on Economic Security,https://www.alberta.ca/indigenous-womens-economic-security-councils,Advisory,"The Metis Women's Council on Economic Security is an advisory agency accountable to the Minister of Indigenous Relations. It provides advice to the Government of Alberta, and other government councils and entities with the goal of enhancing the economic security of Metis and Inuit women."
Minister's Advisory Council on Higher Education and Skills,https://open.alberta.ca/publications/ministers-advisory-council-on-higher-education-and-skills-code-of-conduct,Advisory,"Provides advice and recommendations to the Minister respecting the strategic goals and direction of post-secondary education in Alberta, metrics for measuring the performance of public post-secondary institutions and independent academic institutions, and any other matter requested by the Minister."
Minister's Youth Council,https://www.albertaschoolcouncils.ca/education-in-alberta/the-education-ministry/ministers-youth-council,Advisory,"The Minister’s Youth Council is established to provide the Minister and the department with student perspectives on education policies, programs, and initiatives that impact the kindergarten to grade 12 education system, as determined by the Minister."
Mount Royal University Board of Governors,https://www.mtroyal.ca/AboutMountRoyal/OfficesGovernance/BoardofGovernors/index.htm,Service Delivery,"Based on Alberta’s differentiated model for post-secondary education as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post- secondary institutions, Mount Royal University is a baccalaureate and applied studies institution. It provides baccalaureate degrees in specified areas, certificate, diploma and applied degree programs. Applied research is conducted to foster innovation and scholarly research is conducted as a basis to enhance the instructional mandate of the institution."
MSI Foundation Board of Trustees,https://www.msifoundation.ca/,Regulatory/Adjudicative,The purpose of the Foundation is to foster and support research into the provision of medical and allied health services to the people of Alberta and to promote health matters in the interests of the people of Alberta. It is a policy of the Foundation to devote its funds to charitable endeavours in the medical and health fields in the Province. The Foundation is a granting agency and does not engage directly in research.
Natural Resources Conservation Board,https://www.nrcb.ca/,Regulatory/Adjudicative,"The Natural Resources Conservation Board provides Albertans with a mechanism to address concerns and grievances related to the forestry industry, non-energy mining, recreational and water management development proposals. The Board is also responsible for the review, approval, monitoring and enforcement of confined feeding operations."
NorQuest College Board of Governors,https://www.norquest.ca/about-us/governance/board-of-governors/,Service Delivery,"Based on Alberta’s differentiated model for post-secondary education as prescribed in the six sector model outlined in the Roles and Mandates Policy Framework for publicly funded post- secondary institutions, NorQuest College is a comprehensive community institution (CCI). CCI's provide broad programming, including apprenticeship where demand warrants, certificate, diploma, foundational learning, and upgrading. They may provide university transfer (years one and two) and applied degrees. Baccalaureate degrees will only be provided if feasible, in alignment with areas of specializations, and primarily in collaboration with a degree-granting institution. Applied research may be conducted to foster innovation, and scholarly research activity may be conducted as a basis to enhance the instructional mandate of these institutions within collaborative degree program disciplines."
Northern Alberta Development Council,http://www.nadc.gov.ab.ca/,Advisory,"The Northern Alberta Development Council is an advocate for the north and is responsible for providing advice, guidance and recommendations regarding northern development, including social and economic development, development of communities and service delivery, and development of government services and programs."
